5530,7161,2019-08-14,11:10:28
11809,7355,2019-10-13,08:45:08
5773,7216,2019-12-31,06:34:15
3347,7011,2019-07-18,00:47:00
12831,5364,2019-03-26,16:48:08
3693,7496,2018-07-10,04:13:15
8598,7495,2018-12-16,00:55:57
8580,5505,2018-08-18,20:19:29
11133,7491,2018-02-14,08:17:51
9702,5923,2018-05-16,16:33:56
14354,5474,2018-08-04,00:00:26
4761,5507,2019-12-12,14:22:21
7506,7000,2019-02-02,06:05:10
5856,6291,2019-12-17,17:11:57
7208,7229,2018-10-04,05:12:35
5534,5847,2019-07-01,08:46:33
3862,5890,2019-04-12,11:29:38
12951,5201,2019-04-03,23:11:22
4382,6259,2019-04-06,08:41:43
4338,5253,2019-04-15,07:53:37
491,7559,2018-11-26,15:47:47
148,6749,2018-05-17,15:29:52
11355,7100,2019-02-12,21:37:24
520,5780,2019-03-04,20:56:05
489,6877,2019-01-10,22:47:52
6501,5254,2018-12-10,15:38:55
1758,5356,2018-04-24,06:21:29
8462,5693,2019-07-13,19:56:13
9919,7723,2018-08-06,08:43:43
14345,6893,2018-12-30,20:31:48
9607,7709,2019-03-12,21:39:54
3226,7347,2019-01-30,00:10:58
3372,5487,2018-03-05,18:33:20
7778,5209,2018-06-05,18:57:57
8669,6951,2018-05-04,09:26:19
11548,5850,2018-05-31,13:11:40
11487,7342,2018-05-22,15:34:44
419,7036,2019-02-17,23:27:10
4981,5951,2019-06-17,16:03:00
8361,5448,2018-03-17,07:29:19
6655,7272,2019-09-22,23:34:53
5779,6486,2019-09-02,06:07:09
2374,7448,2019-07-15,16:08:51
869,7450,2018-04-17,11:35:35
12616,6577,2018-01-27,22:06:06
10396,6192,2019-09-21,10:24:40
5615,5438,2018-05-12,10:35:47
13659,6697,2018-03-24,10:57:06
4690,5584,2019-01-03,06:35:07
8985,7529,2019-09-28,06:17:54
9067,6290,2018-09-15,20:51:23
14392,5229,2019-09-07,09:31:34
2449,7709,2019-12-22,07:18:49
10214,5402,2019-06-15,03:54:36
1563,6496,2019-05-05,17:14:56
10965,6717,2018-04-13,12:18:28
10501,7180,2018-09-14,20:22:17
7750,7598,2019-07-26,10:53:16
2179,6667,2019-11-20,05:35:02
11958,6727,2019-01-29,17:25:53
10044,6000,2018-03-28,15:48:11
12342,6839,2019-10-31,21:51:38
10655,6311,2019-06-08,14:38:46
3975,6697,2018-07-01,04:05:56
6338,5323,2018-10-03,02:49:44
12842,6648,2018-09-06,19:16:52
9267,6537,2019-04-04,07:49:26
2435,6908,2019-09-02,05:56:52
2089,7438,2019-11-12,21:28:14
6933,7346,2019-05-10,20:59:57
5994,7223,2019-02-11,18:07:58
14275,5693,2019-05-13,11:54:41
8032,7073,2018-08-26,13:33:58
1865,6697,2019-10-13,11:37:19
