6026,566,137,28
6913,187,96,22
11739,1527,104,19
10300,3609,115,20
11965,1961,118,25
14210,294,41,13
4112,4211,135,19
10531,5266,105,7
11878,3546,152,21
14563,7486,145,21
11020,8429,138,4
9411,6143,55,21
7143,2693,55,18
2171,8331,168,5
2793,4437,1,25
4470,131,127,3
8609,9987,162,2
5977,7793,34,11
5698,4750,58,29
9384,394,77,19
3681,1177,41,15
1015,1538,148,14
5674,3700,25,5
5385,5880,138,17
3808,3349,53,13
2763,8747,157,21
9217,4406,22,5
10828,2289,178,4
11620,1619,161,26
12874,397,125,8
7812,9874,165,4
1435,5319,158,8
1690,6166,90,9
4708,6567,42,21
14188,5897,107,16
11108,2507,81,9
7857,8210,64,22
6709,8505,200,24
4040,1832,59,3
6459,4163,51,5
12046,4176,149,25
14386,1506,185,1
9910,3270,115,21
11984,3441,190,29
9883,4973,81,15
10753,4886,26,25
3559,7323,20,28
12722,1291,196,13
9670,2237,4,15
14469,2229,117,7
6253,7828,191,7
14509,6817,123,21
12724,4061,131,9
14438,6172,79,16
7191,5995,125,21
7811,6206,133,12
11043,2864,97,12
2036,4172,59,17
11142,4217,160,21
10843,2442,151,24
4009,344,165,28
10482,6163,110,23
319,4827,186,17
12598,4986,119,25
10940,2276,28,17
14005,7970,117,25
12844,8779,9,9
7940,2951,0,5
6982,5282,192,16
13368,1979,179,17
1049,4911,42,12
1928,278,98,8
2127,8294,87,28
7056,9492,120,19
9414,4318,76,24
12652,4690,142,15
12334,3525,2,27
8274,7582,63,24
6780,6226,106,6
5891,9691,69,24
12211,7732,107,7
7480,5828,3,16
7562,6832,155,21
10311,8029,133,21
7462,2892,164,7
7854,2844,95,9
1454,6092,41,13
7377,8147,186,17
5495,166,175,4
6803,912,91,9
14737,6899,71,27
12026,7035,126,9
13245,327,38,6
256,4916,43,16
2907,9489,60,25
6403,7797,0,1
6230,5471,5,13
9027,4136,158,17
4911,3773,44,12
12821,7663,152,26
6755,1311,167,7
7879,118,166,17
243,7722,107,5
2588,1705,84,17
6406,9425,150,1
7914,2155,90,26
4002,339,42,4
8958,6266,174,22
14809,6057,104,12
2570,1635,187,23
5473,8686,196,13
6093,4582,12,9
12160,4849,176,2
8846,8815,71,3
1077,4488,157,9
6402,2616,101,21
6721,8746,119,1
9739,1929,68,5
1332,7213,67,1
7995,393,170,1
9976,7919,199,9
6349,8182,138,8
6071,8562,127,20
14148,4405,35,17
3915,4181,146,9
997,4535,196,8
8784,6112,134,22
8684,6194,152,22
12052,4711,104,20
8431,2750,30,15
827,5113,101,1
4459,534,192,7
14449,1270,104,13
12687,5751,144,11
357,9804,111,21
5599,1397,102,13
2493,1604,89,25
12553,212,141,9
10148,2869,58,5
5895,5124,181,20
9835,6838,145,7
6115,3186,6,17
13676,6283,66,10
8756,451,8,27
993,5926,162,17
1692,9363,41,5
9349,9448,2,29
6156,1104,142,24
10062,1165,166,23
5704,1718,180,17
101,2731,7,9
3493,1573,8,9
7164,1318,47,15
10349,9717,150,5
5987,786,39,7
4339,7872,86,28
10949,1600,66,1
9725,6188,78,1
1837,9673,112,10
1392,5350,25,25
681,5279,126,9
8936,3048,144,21
4601,2759,78,4
6016,8347,89,15
6903,9220,55,9
3660,7295,87,26
4426,6831,100,28
7732,1635,187,23
14212,8572,17,21
2130,4840,187,9
8230,9602,114,12
2023,7129,155,18
2434,9317,67,20
2821,7276,172,3
6928,7847,13,13
7504,9373,180,1
3826,6838,145,7
9223,3726,159,18
11134,1076,119,21
7255,8532,192,8
5155,8338,35,24
13132,8021,183,11
4334,3635,96,5
10018,2825,62,24
12143,8431,29,9
4638,8527,149,17
3781,8301,34,1
1360,7364,168,23
1158,2449,18,24
6242,6654,147,29
7389,6113,25,27
386,4066,34,18
420,1639,177,17
4428,8457,125,8
13834,2191,65,11
2631,2074,16,5
7580,9078,39,11
8224,2757,29,22
1717,1343,139,24
7438,3037,99,28
11796,6153,114,13
14396,2814,77,3
8646,8152,130,17
2945,3706,167,22
10614,9677,149,23
7615,1850,11,5
8090,1901,173,15
13333,3377,151,13
2396,314,119,5
996,1088,14,16
330,34,166,28
9081,9775,26,5
5056,2965,141,9
4069,4595,153,12
13185,9249,66,17
9823,7037,187,8
9675,5843,118,3
2922,2420,56,12
11592,7000,86,21
7635,8501,126,11
332,4345,23,16
14725,2647,78,8
8500,1196,146,11
6134,255,111,22
9656,6578,7,10
7922,3700,25,5
4735,1886,192,24
9871,2481,47,29
8653,78,145,10
2953,4563,151,21
366,868,153,21
2583,9679,58,27
1147,9711,186,25
139,1826,115,21
14331,9155,151,15
1351,5820,23,12
11412,6266,174,22
10676,168,42,4
1856,5184,138,25
7501,6562,3,29
930,4944,5,26
13922,7858,188,25
14687,5685,127,10
13952,9109,11,15
14554,9612,154,14
1252,5505,146,2
11757,9893,73,2
13121,9770,25,13
5730,7970,117,25
13033,6165,66,2
9632,3935,150,20
9957,3235,43,9
10651,1282,96,13
14663,5972,55,28
11450,2843,54,21
601,5215,9,13
5790,3749,186,21
525,9044,83,14
10593,2301,141,25
3244,1797,179,1
3274,9937,171,28
5728,5651,17,28
886,7813,131,24
12927,6899,71,27
9654,1218,183,5
12820,7337,18,27
11612,1542,88,23
4674,9004,142,20
937,3972,116,6
2418,6865,83,3
12116,2199,140,22
6325,174,166,28
14710,9720,103,10
12941,101,9,23
14317,2357,165,17
6415,8953,136,6
4557,2337,186,13
5485,4285,83,26
6905,60,146,23
13772,3230,9,17
3837,2071,7,21
3971,2508,1,21
1283,5129,116,8
7590,288,181,13
6810,4426,106,12
4272,8331,168,5
3768,5496,84,2
13575,1105,54,25
9377,6966,19,1
11731,3892,107,9
2794,5795,173,10
206,1108,38,17
10717,4355,174,25
12077,7562,178,27
10343,3116,191,6
4800,119,18,8
8635,2217,32,25
3625,6008,93,17
5370,9862,172,3
10230,6692,174,20
8642,2284,199,22
10635,1277,64,9
2364,5564,4,11
1868,5783,181,6
2048,4046,163,24
7634,6662,54,1
14774,2193,22,28
13828,3015,10,18
10585,7227,166,1
14284,3251,165,1
6702,1312,190,9
5314,792,89,9
1639,7290,182,13
9255,6707,167,1
12880,1228,49,29
9051,6357,88,27
7720,8451,104,25
11451,8299,117,21
11817,9368,22,25
14008,3098,16,19
1007,6105,12,13
12605,321,122,13
14729,3640,68,16
1284,5958,109,2
13355,3438,87,9
8217,9588,124,2
2904,7535,72,25
12543,4458,96,7
6395,8391,177,1
7211,5781,4,20
13361,3496,46,21
3350,2909,30,19
10524,3230,9,17
14565,4143,117,25
3259,6526,136,21
9066,2152,63,19
3833,2868,13,24
12012,7197,75,8
1294,2422,45,17
1671,2189,189,27
8857,2285,93,21
7277,4939,109,19
4181,6640,81,14
12712,959,200,9
14494,4001,86,5
5754,271,52,3
5143,7616,152,13
12533,6415,183,20
12181,9007,130,13
334,2641,67,9
1713,7258,152,21
8966,9936,44,28
